# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_1
UniRef90_A0A378DLM6|unclassified	436.6924945794
UniRef90_A0A174I9F5	435.1992594736
UniRef90_A0A174I9F5|unclassified	435.1992594736
UniRef90_A0A377U3K1	432.4527616223
UniRef90_A0A377U3K1|unclassified	432.4527616223
UniRef90_J9F9L1	432.0547465057
UniRef90_J9F9L1|unclassified	432.0547465057
UniClust90_4966-EOJAAMPB_02172	431.1787004559
UniClust90_4966-EOJAAMPB_02172|unclassified	431.1787004559
UniClust90_2293-KHMFLONP_01323	428.2945619913
UniClust90_2293-KHMFLONP_01323|unclassified	428.2945619913
UniClust90_37168-LNMHALIG_00222	428.2945619913
UniClust90_37168-LNMHALIG_00222|unclassified	428.2945619913
UniClust90_4861-COMHDOJG_01748	428.2945619913
UniClust90_4861-COMHDOJG_01748|unclassified	428.2945619913
UniRef90_A0A3B8U2W2	428.2945619913
UniRef90_A0A3B8U2W2|unclassified	428.2945619913
UniRef90_UNK40204-OIFOBKIC_00578	428.2945619913
UniRef90_UNK40204-OIFOBKIC_00578|unclassified	428.2945619913
UniRef90_UNK4553-OLMJEGBF_02262	428.2945619913
UniRef90_UNK4553-OLMJEGBF_02262|unclassified	428.2945619913
UniClust90_4787-MDJODILJ_03094	424.5621475077
UniClust90_4787-MDJODILJ_03094|unclassified	424.5621475077
UniRef90_G7JRM2	423.3636773575
UniRef90_G7JRM2|unclassified	423.3636773575
UniClust90_1778-OHFIECDL_01735	420.2135325198
UniClust90_1778-OHFIECDL_01735|unclassified	420.2135325198
UniClust90_7114-CAPNMEGC_01195	420.2135325198
UniClust90_7114-CAPNMEGC_01195|unclassified	420.2135325198
UniRef90_A0A3B0VZ29	420.2135325198
UniRef90_A0A3B0VZ29|unclassified	420.2135325198
UniRef90_A0A0P0F758	419.8883986819
UniRef90_A0A0P0F758|unclassified	419.8883986819
UniClust90_1878-PECLBKDC_00053	416.2863032439
UniClust90_1878-PECLBKDC_00053|unclassified	416.2863032439
UniClust90_4675-HAJDPKDB_01138	416.2863032439
UniClust90_4675-HAJDPKDB_01138|unclassified	416.2863032439
UniClust90_48103-CNOACAGM_03126	416.2863032439
UniClust90_48103-CNOACAGM_03126|unclassified	416.2863032439
UniClust90_103651-OJDDNAFN_03748	412.4318004361
UniClust90_103651-OJDDNAFN_03748|unclassified	412.4318004361
UniClust90_1469-NIAGCFLC_00801	410.6707316305
UniClust90_1469-NIAGCFLC_00801|unclassified	410.6707316305
UniRef90_UNK1945-PKNPODCE_00513	407.9713961557
UniRef90_UNK1945-PKNPODCE_00513|unclassified	407.9713961557
UniRef90_J9BQQ4	407.6620175706
UniRef90_J9BQQ4|unclassified	407.6620175706
UniClust90_103579-GACKCDDB_02583	407.4442530820
UniClust90_103579-GACKCDDB_02583|unclassified	407.4442530820
UniRef90_A0A1C5NJW6	406.9420652627
UniRef90_A0A1C5NJW6|unclassified	406.9420652627
UniClust90_5684-ALNMDGMH_01457	405.8575450867
UniClust90_5684-ALNMDGMH_01457|unclassified	405.8575450867
UniClust90_6221-NEMIPHOH_01193	404.9330404282
UniClust90_6221-NEMIPHOH_01193|unclassified	404.9330404282
UniClust90_65958-LOEAELOG_00593	401.2849950189
UniClust90_65958-LOEAELOG_00593|unclassified	401.2849950189
UniClust90_35510-EPBGFMJH_00590	397.7020932777
UniClust90_35510-EPBGFMJH_00590|unclassified	397.7020932777
UniClust90_36726-GMGFJABL_00960	397.7020932777
UniClust90_36726-GMGFJABL_00960|unclassified	397.7020932777
UniRef90_UPI00098C5709	397.7020932777
UniRef90_UPI00098C5709|unclassified	397.7020932777
UniRef90_UNK4829-IIAEGMDM_01476	396.5690388809
UniRef90_UNK4829-IIAEGMDM_01476|unclassified	396.5690388809
UniRef90_UPI000688A432	396.2531292665
UniRef90_UPI000688A432|unclassified	396.2531292665
UniRef90_A0A0P0M4W4	396.0918904306
UniRef90_A0A0P0M4W4|unclassified	396.0918904306
UniRef90_D4LGB4	395.6580605026
UniRef90_D4LGB4|unclassified	395.6580605026
UniRef90_F3Y8R9	394.6859607442
UniRef90_F3Y8R9|unclassified	394.6859607442
UniClust90_4406-OEGFLNOM_01021	394.1826057265
UniClust90_4406-OEGFLNOM_01021|unclassified	394.1826057265
UniClust90_4814-AFCPAPBN_00107	394.1826057265
UniClust90_4814-AFCPAPBN_00107|unclassified	394.1826057265
UniRef90_A0A116MR50	394.1826057265
UniRef90_A0A116MR50|unclassified	394.1826057265
UniRef90_A0A377W0J9	394.1826057265
UniRef90_A0A377W0J9|unclassified	394.1826057265
UniRef90_W1FUP4	394.1826057265
UniRef90_W1FUP4|unclassified	394.1826057265
UniRef90_A0A078RFD0	392.4127642292
UniRef90_A0A078RFD0|unclassified	392.4127642292
UniClust90_71603-KGJPKKFB_01749	391.9992532641
UniClust90_71603-KGJPKKFB_01749|unclassified	391.9992532641
UniRef90_A0A3B3ITT6	391.9035207764
UniRef90_A0A3B3ITT6|unclassified	391.9035207764
UniClust90_15370-AHAPPILB_01815	391.6006235930
UniClust90_15370-AHAPPILB_01815|unclassified	391.6006235930
UniClust90_4809-EGGAKFFC_01136	391.2143800849
UniClust90_4809-EGGAKFFC_01136|unclassified	391.2143800849
UniClust90_7270-KGJJHOGM_03067	388.6048104350
UniClust90_7270-KGJJHOGM_03067|unclassified	388.6048104350
UniRef90_A0A174Y214	388.2263871742
UniRef90_A0A174Y214|unclassified	388.2263871742
UniClust90_4778-KAMPNKML_01276	387.3272560617
UniClust90_4778-KAMPNKML_01276|unclassified	387.3272560617
UniRef90_UNK51590-IJBHDDPG_02176	387.3272560617
UniRef90_UNK51590-IJBHDDPG_02176|unclassified	387.3272560617
UniClust90_6631-BPJNKMIF_00456	386.8248508856
UniClust90_6631-BPJNKMIF_00456|unclassified	386.8248508856
UniRef90_A0A3D3UCK1	386.1813219249
UniRef90_A0A3D3UCK1|unclassified	386.1813219249
UniClust90_1791-KHLGLNOO_00159	384.9055570923
UniClust90_1791-KHLGLNOO_00159|unclassified	384.9055570923
UniClust90_4832-JFMLKPPM_01484	384.4404776535
UniClust90_4832-JFMLKPPM_01484|unclassified	384.4404776535
UniClust90_11224-NONHGMIA_01639	383.9882279922
UniClust90_11224-NONHGMIA_01639|unclassified	383.9882279922
UniClust90_7144-PADEHJCO_00741	383.9882279922
UniClust90_7144-PADEHJCO_00741|unclassified	383.9882279922
UniRef90_A0A015P8T5	383.9882279922
UniRef90_A0A015P8T5|unclassified	383.9882279922
UniClust90_15272-NGBKFHFC_01274	383.6660928928
UniClust90_15272-NGBKFHFC_01274|unclassified	383.6660928928
UniRef90_UNK6816-FBFGMPLD_00483	381.5652338175
UniRef90_UNK6816-FBFGMPLD_00483|unclassified	381.5652338175
UniRef90_A0A0P0M4J6	381.0427115494
UniRef90_A0A0P0M4J6|unclassified	381.0427115494
UniRef90_D4LKA4	380.7688626088
UniRef90_D4LKA4|unclassified	380.7688626088
UniClust90_1370-BENIDHHE_01160	380.7062773256
UniClust90_1370-BENIDHHE_01160|unclassified	380.7062773256
UniClust90_5792-EALGCBCK_01902	380.7062773256
UniClust90_5792-EALGCBCK_01902|unclassified	380.7062773256
UniRef90_A0A069S4H2	380.7062773256
UniRef90_A0A069S4H2|unclassified	380.7062773256
UniClust90_103074-FOHMNFPE_03072	378.6654542016
UniClust90_103074-FOHMNFPE_03072|unclassified	378.6654542016
UniRef90_Q041W5	378.5697936516
UniRef90_Q041W5|unclassified	378.5697936516
UniRef90_D1YKN8	378.4508939166
UniRef90_D1YKN8|unclassified	378.4508939166
UniClust90_63931-EMFPFOFD_00782	377.5746611734
UniClust90_63931-EMFPFOFD_00782|unclassified	377.5746611734
UniClust90_2121-KCABCEIJ_00722	377.4799529415
UniClust90_2121-KCABCEIJ_00722|unclassified	377.4799529415
UniRef90_UNK36997-HABJADAI_02294	377.4799529415
UniRef90_UNK36997-HABJADAI_02294|unclassified	377.4799529415
UniRef90_A0A316MBM5	376.8183233202
UniRef90_A0A316MBM5|unclassified	376.8183233202
UniRef90_Q5L9Q6	376.6892225963
UniRef90_Q5L9Q6|unclassified	376.6892225963
UniClust90_1886-OPDOBEKH_00305	374.3078524966
UniClust90_1886-OPDOBEKH_00305|unclassified	374.3078524966
UniClust90_4722-HOKJCCFI_02741	374.3078524966
UniClust90_4722-HOKJCCFI_02741|unclassified	374.3078524966
UniRef90_A0A408EA95	374.3078524966
UniRef90_A0A408EA95|unclassified	374.3078524966
UniRef90_X1US14	374.3078524966
UniRef90_X1US14|unclassified	374.3078524966
UniRef90_E0NRB9	373.3858280379
UniRef90_E0NRB9|unclassified	373.3858280379
UniClust90_7098-ACIFDNIK_00199	371.4207583665
UniClust90_7098-ACIFDNIK_00199|unclassified	371.4207583665
