# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
UniRef90_UNK15251-PEJDOLMD_00701	0.000294844
UniRef90_UPI000AF85DC2	0.000294844
UniRef90_A0A448YD58	0.000294588
UniClust90_6625-PNOCKKDN_00386	0.000294205
UniRef90_UNK6625-PNOCKKDN_00386	0.000294205
UniClust90_41633-MMKKCHCL_01897	0.000294189
UniClust90_13999-IJPHCEAP_00488	0.000293324
UniClust90_1894-GOIBEBKO_02153	0.000293324
UniClust90_1949-AOFKIBGN_01107	0.000293324
UniClust90_35816-BAOGHCCN_01849	0.000293324
UniRef90_A0A0R1W3L7	0.000293324
UniRef90_UNK7269-KLJBLMNK_01205	0.000293324
UniClust90_15267-HOJPBKBL_00077	0.000293012
UniClust90_41627-CEPPKFED_02270	0.000292958
UniClust90_2073-DLMKFGJN_01788	0.000292572
UniClust90_105952-IMHCBJGI_01006	0.00029182
UniRef90_A0A0P0FKN1	0.000291303
UniClust90_103561-IADDMIOA_02593	0.000290331
UniClust90_2107-EGHFCGHK_00316	0.000290331
UniClust90_4727-MGHBPMAK_01573	0.000290331
UniRef90_A0A0P0M3W8	0.000290201
UniRef90_A0A0P0M0P4	0.000290068
UniRef90_A6L0V6	0.000289984
UniClust90_1910-ILIPKGFL_02139	0.00028975
UniRef90_A0A139JXD7	0.00028962
UniRef90_A0A0P0G603	0.000289063
UniClust90_2286-NLHHMDBN_01094	0.000288857
UniRef90_Q8A245	0.000287929
UniRef90_A0A356BYF2	0.000287633
UniRef90_A0A174GWM0	0.000287398
UniRef90_A0A174LVG9	0.000287398
UniRef90_A0A1C6EBU9	0.000287398
UniRef90_J9GLQ7	0.000287077
UniClust90_103409-GHAOAHBD_05031	0.000286898
UniRef90_A0A174PCK3	0.000286538
UniRef90_UNK15091-AALDKIMJ_01960	0.000286489
UniClust90_7272-IFGHMBBH_01444	0.000286137
UniClust90_2300-JDJAOMLA_02206	0.000285961
