name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterobacter asburiae	61645	S	185	388	573	0.00001
Enterobacter hormaechei	158836	S	175	1913	2088	0.00005
Enterobacter cloacae	550	S	160	186	346	0.00001
Enterobacter ludwigii	299767	S	132	237	369	0.00001
Enterobacter roggenkampii	1812935	S	83	77	160	0.00000
Enterobacter sichuanensis	2071710	S	71	30	101	0.00000
Enterobacter kobei	208224	S	46	173	219	0.00001
Enterobacter chuandaensis	2497875	S	41	14	55	0.00000
Enterobacter cloacae complex sp.	2027919	S	21	44	65	0.00000
Enterobacter cancerogenus	69218	S	13	2	15	0.00000
Enterobacter sp. JUb54	2724468	S	85	12	97	0.00000
Enterobacter sp. SGAir0187	2836161	S	22	26	48	0.00000
Enterobacter sp. RHBSTW-00994	2742676	S	21	3	24	0.00000
Enterobacter sp. C2	2870346	S	20	3	23	0.00000
Enterobacter sp. CP102	2976431	S	16	3	19	0.00000
Enterobacter mori	539813	S	117	35	152	0.00000
Enterobacter bugandensis	881260	S	11	8	19	0.00000
Escherichia coli	562	S	1237	54349	55586	0.00139
Escherichia marmotae	1499973	S	54	18	72	0.00000
Escherichia albertii	208962	S	44	20	64	0.00000
Escherichia fergusonii	564	S	18	21	39	0.00000
Escherichia sp. E4742	2044467	S	17	6	23	0.00000
Citrobacter portucalensis	1639133	S	193	224	417	0.00001
Citrobacter freundii	546	S	130	343	473	0.00001
Citrobacter braakii	57706	S	53	148	201	0.00001
Citrobacter werkmanii	67827	S	10	18	28	0.00000
Citrobacter sp. R56	1573676	S	40	11	51	0.00000
Citrobacter sp. CFNIH10	1920110	S	15	112	127	0.00000
Citrobacter sp. S171	2971264	S	10	2	12	0.00000
Citrobacter sp. RHBSTW-00599	2742657	S	10	87	97	0.00000
Citrobacter koseri	545	S	75	55	130	0.00000
Citrobacter rodentium	67825	S	37	148	185	0.00000
Citrobacter tructae	2562449	S	30	8	38	0.00000
Citrobacter arsenatis	2546350	S	21	4	25	0.00000
Citrobacter amalonaticus	35703	S	14	13	27	0.00000
Lelliottia amnigena	61646	S	744	397	1141	0.00003
Lelliottia steviae	2781390	S	10	0	10	0.00000
Cedecea sp. FDAARGOS_727	2545798	S	475	40	515	0.00001
Cedecea neteri	158822	S	84	6	90	0.00000
Kosakonia radicincitans	283686	S	155	71	226	0.00001
Kosakonia cowanii	208223	S	99	37	136	0.00000
Kosakonia sacchari	1158459	S	90	69	159	0.00000
Kosakonia sp. CCTCC M2018092	2492396	S	12	8	20	0.00000
Kosakonia pseudosacchari	1646340	S	11	3	14	0.00000
Kosakonia arachidis	551989	S	10	1	11	0.00000
Leclercia adecarboxylata	83655	S	326	199	525	0.00001
Leclercia sp. 29361	2714951	S	23	18	41	0.00000
Leclercia pneumoniae	2815358	S	13	2	15	0.00000
Salmonella enterica	28901	S	336	3092	3428	0.00009
Salmonella bongori	54736	S	15	239	254	0.00001
Candidatus Blochmannia chromaiodes	251542	S	100	0	100	0.00000
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	18	1	19	0.00000
Symbiopectobacterium purcellii	2871826	S	41	0	41	0.00000
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	21	0	21	0.00000
Cronobacter dublinensis	413497	S	32	13	45	0.00000
Cronobacter sakazakii	28141	S	31	25	56	0.00000
Cronobacter condimenti	1163710	S	27	7	34	0.00000
Cronobacter universalis	535744	S	21	20	41	0.00000
Cronobacter malonaticus	413503	S	11	15	26	0.00000
[Enterobacter] lignolyticus	1334193	S	72	8	80	0.00000
Pluralibacter gergoviae	61647	S	54	18	72	0.00000
Kluyvera intermedia	61648	S	62	47	109	0.00000
Kluyvera cryocrescens	580	S	17	17	34	0.00000
Candidatus Profftia lariciata	1987921	S	59	0	59	0.00000
Buttiauxella sp. R73	3073902	S	13	35	48	0.00000
Atlantibacter hermannii	565	S	36	5	41	0.00000
Atlantibacter subterranea	255519	S	13	9	22	0.00000
Pseudescherichia vulneris	566	S	52	8	60	0.00000
Shimwellia blattae	563	S	49	2	51	0.00000
Plesiomonas shigelloides	703	S	38	1	39	0.00000
Yokenella regensburgei	158877	S	33	8	41	0.00000
Scandinavium goeteborgense	1851514	S	33	1	34	0.00000
Siccibacter colletis	1505757	S	29	2	31	0.00000
Candidatus Moranella endobia	1048758	S	21	0	21	0.00000
Pseudocitrobacter corydidari	2891570	S	17	2	19	0.00000
Jejubacter calystegiae	2579935	S	15	0	15	0.00000
Trabulsiella odontotermitis	379893	S	14	5	19	0.00000
Superficieibacter sp. HKU1	3031919	S	12	1	13	0.00000
Serratia marcescens	615	S	4599	2431	7030	0.00018
Serratia sp. UGAL515B_01	2986763	S	39	1	40	0.00000
Serratia sp. ATCC 39006	104623	S	12	32	44	0.00000
Serratia liquefaciens	614	S	70	5	75	0.00000
Serratia entomophila	42906	S	56	3	59	0.00000
Serratia grimesii	82995	S	38	0	38	0.00000
Serratia proteamaculans	28151	S	29	3	32	0.00000
Serratia odorifera	618	S	20	1	21	0.00000
Serratia fonticola	47917	S	19	0	19	0.00000
Serratia symbiotica	138074	S	10	0	10	0.00000
Yersinia aleksiciae	263819	S	63	75	138	0.00000
Yersinia hibernica	2339259	S	32	34	66	0.00000
Yersinia entomophaga	935293	S	12	6	18	0.00000
Yersinia ruckeri	29486	S	12	6	18	0.00000
Yersinia alsatica	2890317	S	10	14	24	0.00000
Yersinia enterocolitica	630	S	10	12	22	0.00000
Rahnella aquatilis	34038	S	42	14	56	0.00000
Rahnella bonaserana	2816248	S	18	5	23	0.00000
Rahnella sikkimica	1805933	S	17	1	18	0.00000
Rahnella inusitata	58169	S	15	2	17	0.00000
Rahnella victoriana	1510570	S	11	2	13	0.00000
Nissabacter sp. SGAir0207	2126321	S	73	2	75	0.00000
Chania multitudinisentens	1639108	S	48	0	48	0.00000
Rouxiella badensis	1646377	S	30	1	31	0.00000
Gibbsiella quercinecans	929813	S	20	0	20	0.00000
Chimaeribacter arupi	2060066	S	18	3	21	0.00000
Pantoea agglomerans	549	S	177	46	223	0.00001
Pantoea ananatis	553	S	118	11	129	0.00000
Pantoea sp. Z09	2886821	S	39	11	50	0.00000
Pantoea sp. At-9b	592316	S	27	7	34	0.00000
Pantoea sp. CCBC3-3-1	2490851	S	16	3	19	0.00000
Pantoea vagans	470934	S	50	53	103	0.00000
Pantoea cypripedii	55209	S	25	0	25	0.00000
Pantoea eucrina	472693	S	21	3	24	0.00000
Pantoea piersonii	2364647	S	20	2	22	0.00000
Pantoea phytobeneficialis	2052056	S	20	1	21	0.00000
Pantoea dispersa	59814	S	15	1	16	0.00000
Pantoea anthophila	470931	S	15	2	17	0.00000
Pantoea stewartii	66269	S	14	1	15	0.00000
Pantoea deleyi	470932	S	14	1	15	0.00000
Pantoea alhagi	1891675	S	11	1	12	0.00000
Pantoea soli	3098669	S	10	1	11	0.00000
Erwinia sp. DE2	3062598	S	34	2	36	0.00000
Erwinia sp. E602	2675378	S	19	0	19	0.00000
[Pantoea] beijingensis	1324864	S	55	3	58	0.00000
Erwinia sorbitola	2681984	S	50	4	54	0.00000
Erwinia rhapontici	55212	S	39	3	42	0.00000
Erwinia tracheiphila	65700	S	36	2	38	0.00000
Candidatus Erwinia haradaeae	1922217	S	36	0	36	0.00000
Erwinia billingiae	182337	S	26	40	66	0.00000
Erwinia persicina	55211	S	17	1	18	0.00000
Buchnera aphidicola	9	S	106	0	106	0.00000
Mixta gaviniae	665914	S	15	3	18	0.00000
Mixta calida	665913	S	11	2	13	0.00000
Tatumella ptyseos	82987	S	19	0	19	0.00000
Tatumella citrea	53336	S	16	0	16	0.00000
Winslowiella toletana	92490	S	17	1	18	0.00000
Pectobacterium carotovorum	554	S	71	49	120	0.00000
Pectobacterium aroidearum	1201031	S	46	39	85	0.00000
Pectobacterium wasabiae	55208	S	17	1	18	0.00000
Pectobacterium brasiliense	180957	S	15	5	20	0.00000
Pectobacterium polonicum	2485124	S	13	1	14	0.00000
Dickeya dianthicola	204039	S	55	8	63	0.00000
Dickeya fangzhongdai	1778540	S	27	87	114	0.00000
Dickeya zeae	204042	S	23	8	31	0.00000
Dickeya solani	1089444	S	20	3	23	0.00000
Dickeya chrysanthemi	556	S	17	1	18	0.00000
Dickeya dadantii	204038	S	12	1	13	0.00000
Brenneria izadpanahii	2722756	S	65	45	110	0.00000
Brenneria goodwinii	1109412	S	27	18	45	0.00000
Lonsdalea populi	1172565	S	17	31	48	0.00000
Musicola paradisiaca	69223	S	50	38	88	0.00000
Providencia rettgeri	587	S	42	88	130	0.00000
Providencia sp. R33	2828763	S	19	2	21	0.00000
Providencia alcalifaciens	126385	S	23	1	24	0.00000
Morganella morganii	582	S	94	21	115	0.00000
Proteus sp. NMG38-2	2883107	S	25	46	71	0.00000
Proteus vulgaris	585	S	13	5	18	0.00000
Proteus mirabilis	584	S	11	3	14	0.00000
Xenorhabdus griffiniae	351672	S	37	10	47	0.00000
Photorhabdus asymbiotica	291112	S	18	0	18	0.00000
Photorhabdus thracensis	230089	S	11	0	11	0.00000
Photorhabdus laumondii	2218628	S	10	0	10	0.00000
Edwardsiella hoshinae	93378	S	13	20	33	0.00000
Edwardsiella piscicida	1263550	S	10	57	67	0.00000
Hafnia alvei	569	S	26	41	67	0.00000
Hafnia paralvei	546367	S	12	4	16	0.00000
Limnobaculum zhutongyuii	2498113	S	44	1	45	0.00000
Limnobaculum parvum	2172103	S	16	0	16	0.00000
Pragia fontium	82985	S	13	0	13	0.00000
Leminorella richardii	158841	S	12	0	12	0.00000
Sodalis praecaptivus	1239307	S	23	5	28	0.00000
Sodalis ligni	2697027	S	21	0	21	0.00000
Sodalis glossinidius	63612	S	17	0	17	0.00000
Sodalis endosymbiont of Henestaris halophilus	1929246	S	14	0	14	0.00000
Pseudomonas sp. P8_241	3043445	S	116	10	126	0.00000
Pseudomonas sp. HR96	1027966	S	66	2	68	0.00000
Pseudomonas sp. SCB32	2653853	S	58	7	65	0.00000
Pseudomonas sp. S34	1573718	S	53	9	62	0.00000
Pseudomonas sp. FP597	2954096	S	44	7	51	0.00000
Pseudomonas sp. ZM23	2961893	S	40	13	53	0.00000
Pseudomonas sp. B11D7D	2735906	S	37	4	41	0.00000
Pseudomonas sp. ATCC 13867	1294143	S	31	6	37	0.00000
Pseudomonas sp. MPFS	2795724	S	30	66	96	0.00000
Pseudomonas sp. LTJR-52	2479392	S	29	9	38	0.00000
Pseudomonas sp. B21-021	2895476	S	28	19	47	0.00000
Pseudomonas sp. PDNC002	2811422	S	28	5	33	0.00000
Pseudomonas sp. FP2196	2954086	S	24	3	27	0.00000
Pseudomonas sp. KNUC1026	2893890	S	24	0	24	0.00000
Pseudomonas sp. 10S4	3048583	S	24	2	26	0.00000
Pseudomonas sp. FP2338	2954093	S	20	4	24	0.00000
Pseudomonas sp. KU26590	2991051	S	19	0	19	0.00000
Pseudomonas sp. B21-010	2895471	S	19	81	100	0.00000
Pseudomonas sp. FP198	2954084	S	18	1	19	0.00000
Pseudomonas sp. LG1D9	2083054	S	17	45	62	0.00000
Pseudomonas sp. StFLB209	1028989	S	17	1	18	0.00000
Pseudomonas sp. NyZ480	3035289	S	16	184	200	0.00001
Pseudomonas sp. N3-W	2975049	S	16	1	17	0.00000
Pseudomonas sp. ABC1	2748080	S	16	0	16	0.00000
Pseudomonas sp. MM211	2866808	S	16	0	16	0.00000
Pseudomonas sp. J452	2898441	S	15	1	16	0.00000
Pseudomonas sp. SO81	2983246	S	15	0	15	0.00000
Pseudomonas sp. 273	75692	S	15	3	18	0.00000
Pseudomonas sp. HN11	1344094	S	14	2	16	0.00000
Pseudomonas sp. ADAK13	2730847	S	14	2	16	0.00000
Pseudomonas sp. PONIH3	1636610	S	13	141	154	0.00000
Pseudomonas sp. LS44	1357074	S	12	0	12	0.00000
Pseudomonas sp. 7SR1	1881017	S	12	0	12	0.00000
Pseudomonas sp. Ost2	2678260	S	10	0	10	0.00000
Pseudomonas fluorescens	294	S	197	67	264	0.00001
Pseudomonas orientalis	76758	S	36	6	42	0.00000
Pseudomonas congelans	200452	S	23	5	28	0.00000
Pseudomonas synxantha	47883	S	20	14	34	0.00000
Pseudomonas marginalis	298	S	15	12	27	0.00000
Pseudomonas rhodesiae	76760	S	15	3	18	0.00000
Pseudomonas extremorientalis	169669	S	11	38	49	0.00000
Pseudomonas veronii	76761	S	10	40	50	0.00000
Pseudomonas putida	303	S	270	712	982	0.00002
Pseudomonas fulva	47880	S	49	35	84	0.00000
Pseudomonas plecoglossicida	70775	S	10	11	21	0.00000
Pseudomonas mosselii	78327	S	10	4	14	0.00000
Pseudomonas aeruginosa	287	S	106	532	638	0.00002
Pseudomonas furukawaii	1149133	S	51	6	57	0.00000
Pseudomonas multiresinivorans	95301	S	40	15	55	0.00000
Pseudomonas resinovorans	53412	S	37	8	45	0.00000
Pseudomonas alcaligenes	43263	S	32	8	40	0.00000
Pseudomonas mendocina	300	S	20	6	26	0.00000
Pseudomonas citronellolis	53408	S	18	21	39	0.00000
Pseudomonas syringae	317	S	50	27	77	0.00000
Pseudomonas viridiflava	33069	S	40	1	41	0.00000
Pseudomonas cichorii	36746	S	18	1	19	0.00000
Pseudomonas amygdali	47877	S	11	28	39	0.00000
Pseudomonas lijiangensis	2995658	S	13	0	13	0.00000
Pseudomonas syringae group genomosp. 3	251701	S	12	44	56	0.00000
Pseudomonas syringae group genomosp. 7	251699	S	10	1	11	0.00000
Pseudomonas chlororaphis	587753	S	96	106	202	0.00001
Pseudomonas protegens	380021	S	61	77	138	0.00000
Pseudomonas fragi	296	S	56	37	93	0.00000
Pseudomonas otitidis	319939	S	60	5	65	0.00000
Pseudomonas coleopterorum	1605838	S	56	5	61	0.00000
Pseudomonas lalkuanensis	2604832	S	52	3	55	0.00000
Pseudomonas psychrotolerans	237610	S	50	8	58	0.00000
Pseudomonas arsenicoxydans	702115	S	48	9	57	0.00000
Pseudomonas frederiksbergensis	104087	S	37	16	53	0.00000
Pseudomonas phenolilytica	2746321	S	33	61	94	0.00000
Pseudomonas gozinkensis	2774461	S	33	15	48	0.00000
Pseudomonas phytophila	2867264	S	32	1	33	0.00000
Pseudomonas alkylphenolica	237609	S	30	3	33	0.00000
Pseudomonas versuta	1788301	S	27	1	28	0.00000
Pseudomonas tohonis	2725477	S	27	19	46	0.00000
Pseudomonas luteola	47886	S	24	9	33	0.00000
Pseudomonas atacamensis	2565368	S	23	30	53	0.00000
Pseudomonas viciae	2505979	S	21	4	25	0.00000
Pseudomonas vancouverensis	95300	S	21	1	22	0.00000
Pseudomonas maumuensis	2842354	S	20	8	28	0.00000
Pseudomonas knackmussii	65741	S	20	7	27	0.00000
Pseudomonas simiae	321846	S	20	4	24	0.00000
Pseudomonas hamedanensis	2745504	S	19	2	21	0.00000
Pseudomonas marincola	437900	S	19	1	20	0.00000
Pseudomonas laurylsulfatiphila	2011015	S	18	5	23	0.00000
Pseudomonas saudiphocaensis	1499686	S	17	0	17	0.00000
Pseudomonas taetrolens	47884	S	16	0	16	0.00000
Pseudomonas eucalypticola	2599595	S	16	0	16	0.00000
Pseudomonas xanthosomatis	2842356	S	14	3	17	0.00000
Pseudomonas salmasensis	2745514	S	14	10	24	0.00000
Pseudomonas brassicacearum	930166	S	14	37	51	0.00000
Pseudomonas psychrophila	122355	S	12	0	12	0.00000
Pseudomonas graminis	158627	S	11	2	13	0.00000
Pseudomonas benzenivorans	556533	S	11	0	11	0.00000
Pseudomonas seleniipraecipitans	640205	S	10	0	10	0.00000
Stutzerimonas stutzeri	316	S	171	133	304	0.00001
Stutzerimonas balearica	74829	S	19	12	31	0.00000
Stutzerimonas xanthomarina	271420	S	43	12	55	0.00000
Stutzerimonas zhaodongensis	1176257	S	10	8	18	0.00000
Halopseudomonas sp. SMJS2	3041098	S	60	2	62	0.00000
Halopseudomonas sabulinigri	472181	S	35	0	35	0.00000
Halopseudomonas oceani	1708783	S	31	2	33	0.00000
Halopseudomonas litoralis	797277	S	28	4	32	0.00000
Halopseudomonas pelagia	553151	S	20	2	22	0.00000
Halopseudomonas xinjiangensis	487184	S	16	0	16	0.00000
Halopseudomonas phragmitis	1931241	S	16	0	16	0.00000
Pseudomonas denitrificans (nom. rej.)	43306	S	14	7	21	0.00000
Halopseudomonas maritima	2918528	S	11	0	11	0.00000
Azotobacter salinestris	69964	S	73	8	81	0.00000
Azotobacter vinelandii	354	S	26	1	27	0.00000
Entomomonas moraniae	2213226	S	16	0	16	0.00000
Permianibacter aggregans	1510150	S	10	0	10	0.00000
Marinobacter sp. NP-4(2019)	2488665	S	42	27	69	0.00000
Marinobacter sp. LV10R510-11A	1415568	S	23	0	23	0.00000
Marinobacter sp. CA1	2817656	S	23	1	24	0.00000
Marinobacter sp. AN1	2886046	S	19	6	25	0.00000
Marinobacter sp. JH2	2547598	S	18	7	25	0.00000
Marinobacter sp. Arc7-DN-1	2304594	S	11	1	12	0.00000
Marinobacter sp. LQ44	1749259	S	10	36	46	0.00000
Marinobacter fonticola	2603215	S	44	1	45	0.00000
Marinobacter nauticus	2743	S	23	7	30	0.00000
Marinobacter salinus	1874317	S	18	1	19	0.00000
Marinobacter similis	1420916	S	13	8	21	0.00000
Marinobacter salarius	1420917	S	11	5	16	0.00000
Pseudohongiella spirulinae	1249552	S	44	0	44	0.00000
Ketobacter alkanivorans	1917421	S	16	0	16	0.00000
Stenotrophomonas sp. A5586	3003271	S	392	17	409	0.00001
Stenotrophomonas sp. 704A1	3055079	S	56	22	78	0.00000
Stenotrophomonas sp. 59	3051120	S	50	21	71	0.00000
Stenotrophomonas sp. A5588	3003272	S	43	10	53	0.00000
Stenotrophomonas sp. 610A2	3055080	S	17	0	17	0.00000
Stenotrophomonas sp. NA06056	2742129	S	16	3	19	0.00000
Stenotrophomonas sp. SBJS02	2599307	S	15	86	101	0.00000
Stenotrophomonas sp. 24(2023)	3068324	S	14	1	15	0.00000
Stenotrophomonas maltophilia	40324	S	112	109	221	0.00001
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	27	17	44	0.00000
Stenotrophomonas rhizophila	216778	S	46	3	49	0.00000
Stenotrophomonas acidaminiphila	128780	S	16	25	41	0.00000
Xanthomonas translucens	343	S	98	21	119	0.00000
Xanthomonas campestris	339	S	79	56	135	0.00000
Xanthomonas citri	346	S	45	246	291	0.00001
Xanthomonas sacchari	56458	S	37	3	40	0.00000
Xanthomonas arboricola	56448	S	35	3	38	0.00000
Xanthomonas theicola	56464	S	32	2	34	0.00000
Xanthomonas prunicola	2053930	S	24	1	25	0.00000
Xanthomonas fragariae	48664	S	14	0	14	0.00000
Xanthomonas dyei	743699	S	14	0	14	0.00000
Lysobacter sp. CW239	2762611	S	18	2	20	0.00000
Lysobacter sp. CJ11	2764185	S	17	0	17	0.00000
Lysobacter sp. HDW10	2714936	S	13	0	13	0.00000
Lysobacter solisilvae	2763317	S	61	1	62	0.00000
Lysobacter capsici	435897	S	58	9	67	0.00000
Lysobacter avium	2781023	S	42	24	66	0.00000
Lysobacter maris	1605891	S	41	2	43	0.00000
Lysobacter ciconiae	2781022	S	23	4	27	0.00000
Lysobacter enzymogenes	69	S	16	4	20	0.00000
Lysobacter lycopersici	1324796	S	10	0	10	0.00000
Pseudoxanthomonas sp. JBR18	2969308	S	21	5	26	0.00000
Pseudoxanthomonas sp. SL93	2995142	S	14	6	20	0.00000
Pseudoxanthomonas spadix	415229	S	40	12	52	0.00000
Pseudoxanthomonas suwonensis	314722	S	34	13	47	0.00000
Luteimonas sp. JM171	1896164	S	30	3	33	0.00000
Luteimonas sp. S4-F44	2925842	S	19	1	20	0.00000
Luteimonas sp. YGD11-2	2508168	S	10	4	14	0.00000
Luteimonas granuli	1176533	S	17	3	20	0.00000
Luteimonas chenhongjianii	2006110	S	12	1	13	0.00000
Luteimonas yindakuii	2565782	S	10	3	13	0.00000
Thermomonas sp. HDW16	2714945	S	35	2	37	0.00000
Thermomonas sp. XSG	2771436	S	17	3	20	0.00000
Thermomonas carbonis	1463158	S	48	2	50	0.00000
Thermomonas paludicola	2884874	S	11	0	11	0.00000
Pseudolysobacter antarcticus	2511995	S	29	0	29	0.00000
Xylella taiwanensis	1444770	S	14	0	14	0.00000
Xylella fastidiosa	2371	S	13	0	13	0.00000
Arenimonas daejeonensis	370777	S	10	0	10	0.00000
Dyella sp. M7H15-1	2501295	S	26	1	27	0.00000
Dyella sp. GSA-30	2994496	S	11	0	11	0.00000
Dyella japonica	231455	S	36	3	39	0.00000
Dyella terrae	522259	S	36	1	37	0.00000
Dyella thiooxydans	445710	S	22	4	26	0.00000
Dyella telluris	2763498	S	16	1	17	0.00000
Rhodanobacter thiooxydans	416169	S	95	14	109	0.00000
Rhodanobacter sp. FDAARGOS 1247	2778082	S	11	1	12	0.00000
Luteibacter aegosomaticola	2911538	S	26	7	33	0.00000
Luteibacter anthropi	564369	S	19	3	22	0.00000
Luteibacter pinisoli	2589080	S	14	3	17	0.00000
Luteibacter aegosomatis	2911537	S	10	2	12	0.00000
Frateuria aurantia	81475	S	71	9	80	0.00000
Frateuria edaphi	2898793	S	12	2	14	0.00000
Ahniella affigens	2021234	S	66	1	67	0.00000
Halomonas sp. SH5A2	2749040	S	34	2	36	0.00000
Halomonas sp. ZZQ-149	2937790	S	30	52	82	0.00000
Halomonas sp. 1513	1883416	S	29	1	30	0.00000
Halomonas sp. I5-271120	3061632	S	29	3	32	0.00000
Halomonas sp. 3H	2952527	S	28	4	32	0.00000
Halomonas sp. M4R1S46	2982692	S	27	1	28	0.00000
Halomonas sp. KO116	1504981	S	24	16	40	0.00000
Halomonas sp. DN3	2953657	S	23	1	24	0.00000
Halomonas sp. PGE1	2730360	S	17	47	64	0.00000
Halomonas sp. MCCC 1A13316	2733487	S	17	0	17	0.00000
Halomonas sp. THAF5a	2587844	S	17	3	20	0.00000
Halomonas sp. YLGW01	2773308	S	17	1	18	0.00000
Halomonas sp. THAF12	2587849	S	14	17	31	0.00000
Halomonas profundi	2852117	S	208	11	219	0.00001
Halomonas piscis	3031727	S	129	2	131	0.00000
Halomonas meridiana	29570	S	35	8	43	0.00000
Halomonas chromatireducens	507626	S	31	0	31	0.00000
Halomonas sulfidivorans	2733488	S	19	0	19	0.00000
Halomonas huangheensis	1178482	S	18	0	18	0.00000
Halomonas qaidamensis	2866211	S	16	24	40	0.00000
Halomonas venusta	44935	S	12	3	15	0.00000
Halomonas tianxiuensis	2497861	S	11	0	11	0.00000
Salinicola endophyticus	1949083	S	27	7	34	0.00000
Salinicola sp. LHM	3065298	S	10	3	13	0.00000
Cobetia sp. L2A1	2686360	S	14	12	26	0.00000
Zymobacter palmae	33074	S	15	1	16	0.00000
Marinobacterium sediminicola	518898	S	49	1	50	0.00000
Marinobacterium rhizophilum	420402	S	35	1	36	0.00000
Marinobacterium aestuarii	1821621	S	30	1	31	0.00000
Marinobacterium sp. LSUCC0821	2668067	S	27	0	27	0.00000
Marinomonas mediterranea	119864	S	34	4	38	0.00000
Marinomonas algicola	2773454	S	28	3	31	0.00000
Marinomonas sp. FW-1	2071621	S	17	11	28	0.00000
Marinomonas primoryensis	178399	S	15	4	19	0.00000
Aliamphritea hakodatensis	2895352	S	35	2	37	0.00000
Aliamphritea ceti	1524258	S	10	0	10	0.00000
Venatoribacter cucullus	2661630	S	44	1	45	0.00000
Bacterioplanoides sp. SCSIO 12839	2829569	S	38	0	38	0.00000
Neptuniibacter halophilus	651666	S	23	0	23	0.00000
Bermanella marisrubri	207949	S	18	0	18	0.00000
Endozoicomonas sp. 4G	2872754	S	118	10	128	0.00000
Endozoicomonas sp. 8E	3035692	S	28	1	29	0.00000
Endozoicomonas sp. GU-1	3009078	S	18	1	19	0.00000
Endozoicomonas montiporae	1027273	S	56	0	56	0.00000
Endozoicomonas euniceicola	1234143	S	10	0	10	0.00000
Pleionea sp. HL-JVS1	3070815	S	245	3	248	0.00001
Alcanivorax sp.	1872427	S	60	9	69	0.00000
Alloalcanivorax xenomutans	1094342	S	42	13	55	0.00000
Isoalcanivorax pacificus	1306787	S	30	1	31	0.00000
Hahella sp. HNIBRBA332	3015983	S	28	9	37	0.00000
Hahella sp. KA22	1628392	S	14	6	20	0.00000
Reinekea forsetii	1336806	S	19	0	19	0.00000
Saccharospirillum mangrovi	2161747	S	16	0	16	0.00000
Shewanella sp. MTB7	2746932	S	131	6	137	0.00000
Shewanella sp. SNU WT4	2590015	S	20	2	22	0.00000
Shewanella marisflavi	260364	S	50	7	57	0.00000
Shewanella algae	38313	S	29	28	57	0.00000
Shewanella seohaensis	755175	S	22	45	67	0.00000
Shewanella glacialimarina	2590884	S	17	1	18	0.00000
Shewanella violacea	60217	S	16	2	18	0.00000
Shewanella dokdonensis	712036	S	15	0	15	0.00000
Shewanella psychrophila	225848	S	14	2	16	0.00000
Shewanella putrefaciens	24	S	14	146	160	0.00000
Shewanella yunxiaonensis	2829809	S	13	1	14	0.00000
Shewanella oneidensis	70863	S	12	4	16	0.00000
Shewanella pealeana	70864	S	11	1	12	0.00000
Parashewanella tropica	2547970	S	13	0	13	0.00000
Alteromonas naphthalenivorans	715451	S	33	11	44	0.00000
Alteromonas stellipolaris	233316	S	27	46	73	0.00000
Alteromonas mediterranea	314275	S	25	3	28	0.00000
Alteromonas macleodii	28108	S	19	3	22	0.00000
Alkalimarinus sediminis	1632866	S	27	0	27	0.00000
Agarivorans gilvus	680279	S	21	1	22	0.00000
Paraglaciecola psychrophila	326544	S	13	0	13	0.00000
Saliniradius amylolyticus	2183582	S	26	0	26	0.00000
Lacimicrobium alkaliphilum	1526571	S	17	0	17	0.00000
Saccharobesus litoralis	2172099	S	14	0	14	0.00000
Glaciecola nitratireducens	300231	S	12	0	12	0.00000
Paraneptunicella aestuarii	2831148	S	12	0	12	0.00000
Pseudoalteromonas luteoviolacea	43657	S	45	1	46	0.00000
Pseudoalteromonas xiamenensis	882626	S	41	0	41	0.00000
Pseudoalteromonas agarivorans	176102	S	31	110	141	0.00000
Pseudoalteromonas phenolica	161398	S	17	0	17	0.00000
Pseudoalteromonas rhizosphaerae	2518973	S	15	7	22	0.00000
Flocculibacter collagenilyticus	2744479	S	15	0	15	0.00000
Psychrosphaera ytuae	2820710	S	10	1	11	0.00000
Colwellia sp. PAMC 20917	1816218	S	32	0	32	0.00000
Colwellia sp. M166	2583805	S	19	5	24	0.00000
Thalassotalea agarivorans	349064	S	25	0	25	0.00000
Thalassomonas haliotis	485448	S	28	0	28	0.00000
Thalassomonas actiniarum	485447	S	13	0	13	0.00000
Ferrimonas sp. YFM	3028878	S	32	2	34	0.00000
Ferrimonas sp. SCSIO 43195	2822844	S	13	2	15	0.00000
Ferrimonas balearica	44012	S	29	9	38	0.00000
Idiomarina loihiensis	135577	S	42	12	54	0.00000
Idiomarina sp. OT37-5b	2100422	S	18	3	21	0.00000
Pseudidiomarina andamanensis	1940690	S	10	0	10	0.00000
Moritella sp. 5	2746231	S	33	6	39	0.00000
Psychromonas ingrahamii	357794	S	35	0	35	0.00000
Vibrio sp. J383	2942997	S	64	95	159	0.00000
Vibrio sp. SCSIO 43137	3021011	S	43	2	45	0.00000
Vibrio sp. JC009	2912314	S	37	1	38	0.00000
Vibrio sp. 16	391586	S	15	1	16	0.00000
Vibrio sp. DW001	2912315	S	13	4	17	0.00000
Vibrio sp. B1FLJ16	2751178	S	11	1	12	0.00000
Vibrio sp. VB16	2785746	S	11	4	15	0.00000
Vibrio parahaemolyticus	670	S	41	15	56	0.00000
Vibrio campbellii	680	S	20	22	42	0.00000
Vibrio azureus	512649	S	15	0	15	0.00000
Vibrio owensii	696485	S	13	12	25	0.00000
Vibrio harveyi	669	S	10	20	30	0.00000
Vibrio rhizosphaerae	398736	S	45	3	48	0.00000
