# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_1
RXN0-6705|unclassified	6.4791708260
DTDPDEHYDRHAMEPIM-RXN	6.4362582781
DTDPDEHYDRHAMEPIM-RXN|unclassified	6.4362582781
BETA-LACTAMASE-RXN	6.4266618928
BETA-LACTAMASE-RXN|unclassified	6.4266618928
RXN-20894	6.4266618928
RXN-20894|unclassified	6.4266618928
2PGADEHYDRAT-RXN	6.3771717311
2PGADEHYDRAT-RXN|unclassified	6.3771717311
PYRIMSYN1-RXN	6.3456782567
PYRIMSYN1-RXN|unclassified	6.3456782567
GLUTAMATESYN-RXN	6.3266534491
GLUTAMATESYN-RXN|unclassified	6.3266534491
RXN-15123	6.2836270520
RXN-15123|unclassified	6.2836270520
RXN-15127	6.2836270520
RXN-15127|unclassified	6.2836270520
ASPAMINOTRANS-RXN	6.2428367625
ASPAMINOTRANS-RXN|unclassified	6.2428367625
RXN-11737	6.2428367625
RXN-11737|unclassified	6.2428367625
RXN-13697	6.2428367625
RXN-13697|unclassified	6.2428367625
SULFITE-REDUCT-RXN	6.2417925373
SULFITE-REDUCT-RXN|unclassified	6.2417925373
INORGPYROPHOSPHAT-RXN	6.1856118484
INORGPYROPHOSPHAT-RXN|unclassified	6.1856118484
RXN-15041	6.1726464925
RXN-15041|unclassified	6.1726464925
RXN-19726	6.1726464925
RXN-19726|unclassified	6.1726464925
RXN-19727	6.1726464925
RXN-19727|unclassified	6.1726464925
RXN-19728	6.1726464925
RXN-19728|unclassified	6.1726464925
RXN-19729	6.1726464925
RXN-19729|unclassified	6.1726464925
3.4.14.5-RXN	6.1455478650
3.4.14.5-RXN|unclassified	6.1455478650
CYTOCHROME-C-OXIDASE-RXN	6.1310697622
CYTOCHROME-C-OXIDASE-RXN|unclassified	6.1310697622
RXN-21237	6.1310697622
RXN-21237|unclassified	6.1310697622
RXN1YI0-22	6.1310697622
RXN1YI0-22|unclassified	6.1310697622
PROPANEDIOL-DEHYDRATASE-RXN	6.1188647871
PROPANEDIOL-DEHYDRATASE-RXN|unclassified	6.1188647871
RXN-21079	6.1188647871
RXN-21079|unclassified	6.1188647871
GALACTOSYLCERAMIDASE-RXN	6.0975609756
GALACTOSYLCERAMIDASE-RXN|unclassified	6.0975609756
2-ISOPROPYLMALATESYN-RXN	6.0532341718
2-ISOPROPYLMALATESYN-RXN|unclassified	6.0532341718
1.6.4.4-RXN	6.0449921662
1.6.4.4-RXN|unclassified	6.0449921662
THIAZOLSYN3-RXN	6.0438586691
THIAZOLSYN3-RXN|unclassified	6.0438586691
GAMMA-GLUTAMYLTRANSFERASE-RXN	6.0376946004
GAMMA-GLUTAMYLTRANSFERASE-RXN|unclassified	6.0376946004
RXN-18092	6.0376946004
RXN-18092|unclassified	6.0376946004
RXN-6601	6.0376946004
RXN-6601|unclassified	6.0376946004
RXN-9157	6.0376946004
RXN-9157|unclassified	6.0376946004
RXN66-336	6.0376946004
RXN66-336|unclassified	6.0376946004
RXN0-5359	6.0375173220
RXN0-5359|unclassified	6.0375173220
RXN0-4522	5.9762151138
RXN0-4522|unclassified	5.9762151138
TRANS-RXN0-202	5.9762151138
TRANS-RXN0-202|unclassified	5.9762151138
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	5.9260429836
2-AMINOADIPATE-AMINOTRANSFERASE-RXN|unclassified	5.9260429836
RXN0-882	5.9171597633
RXN0-882|unclassified	5.9171597633
PHOSPHORIBULOKINASE-RXN	5.8823529412
PHOSPHORIBULOKINASE-RXN|unclassified	5.8823529412
DIHYDROOROTATE-DEHYDROGENASE-RXN	5.8479532164
DIHYDROOROTATE-DEHYDROGENASE-RXN|unclassified	5.8479532164
RXN-9929	5.8479532164
RXN-9929|unclassified	5.8479532164
RXN0-6491	5.8479532164
RXN0-6491|unclassified	5.8479532164
RXN0-6554	5.8479532164
RXN0-6554|unclassified	5.8479532164
6.3.2.10-RXN	5.8039418275
6.3.2.10-RXN|unclassified	5.8039418275
UDP-NACMURALGLDAPAALIG-RXN	5.8039418275
UDP-NACMURALGLDAPAALIG-RXN|unclassified	5.8039418275
L-IDITOL-2-DEHYDROGENASE-RXN	5.7944494262
L-IDITOL-2-DEHYDROGENASE-RXN|unclassified	5.7944494262
RXN-7644	5.7944494262
RXN-7644|unclassified	5.7944494262
3-DEHYDROQUINATE-DEHYDRATASE-RXN	5.7869017598
3-DEHYDROQUINATE-DEHYDRATASE-RXN|unclassified	5.7869017598
RXN-9590	5.7428450500
RXN-9590|unclassified	5.7428450500
FATTY-ACYL-COA-SYNTHASE-RXN	5.6960743061
FATTY-ACYL-COA-SYNTHASE-RXN|unclassified	5.6960743061
RXN-10059	5.6960743061
RXN-10059|unclassified	5.6960743061
