# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_kegg
K03496	30.9796072044
K19955	30.9656472116
K01952	30.9640765481
K13038	30.8545596880
K00652	30.7993142812
K08325	30.7442663558
K07404	30.6894148547
K03184	30.4449858868
K10206	30.4449858868
K18332	30.4272255784
K01791	30.2841849051
K02552	30.1779246071
K02304	29.9863129969
K15051	29.7860035083
K00995	29.6146339803
K07148	29.5811126846
K00869	29.5050034752
K00647	29.4292849035
K00290	29.3539539694
K08681	29.3489614406
K00799	29.2044431682
K00633	29.1549441120
K03547	28.6929391594
K00013	28.5737824353
K07478	28.3851766107
K00927	28.3617758056
K04077	28.2622779062
K11529	28.1759492647
K01182	28.0588904664
K17810	28.0381695616
K00174	28.0315981914
K06901	27.9102654732
K01711	27.9017307803
K03696	27.8057784599
K18220	27.5780812552
K09810	27.2916002981
K01531	27.2821840223
K01880	27.2273725808
K02586	27.2174320033
K01192	27.1008768917
K01372	27.0675326925
K04094	27.0675326925
K00045	27.0462531856
K01198	26.9403555616
K02429	26.9403555616
K01665	26.8772141032
K01647	26.7102748852
K00595	26.6069868926
K18707	26.5864250789
K01887	26.4976751146
K04485	26.4433774421
K10112	26.2216722958
K01929	26.2017014868
K04069	26.2017014868
K00231	26.0825125490
K00627	25.9644030582
K00104	25.9252705743
K07645	25.7506242905
K02986	25.7394414496
K01699	25.7313642873
K00873	24.9657721714
K02031	24.8309370203
K00040	24.7502403253
K17450	24.6438639342
K08309	24.5797607885
K02230	24.5774231974
K03529	24.5516680485
K02500	24.3301513806
K03307	24.1932728918
K01956	24.0787533008
K00575	24.0243254554
K22958	24.0075603993
K02818	23.8577212567
K02819	23.8577212567
K06178	23.8492900794
K01299	23.8081896555
K06398	23.7917247940
K08300	23.6283200908
K22131	23.6283200908
K02600	23.5959081290
K11066	23.3397788685
K03149	23.3081531519
K03820	22.9811850716
K05946	22.8785814440
K02499	22.8438473122
K08301	22.6632635390
K03168	22.3720561568
K01215	22.2816282721
K00294	22.2672065062
K01953	22.2240530053
K11785	21.9966969643
K00179	21.8153671859
K07704	21.5827064317
K13292	21.4481509053
K03046	21.3862655464
K13929	21.3549559604
K16786	21.2363173161
K16787	21.2363173161
K00010	21.1065611728
K12507	21.0801679241
K00803	20.7245988266
K21085	20.7121216449
K03658	20.6191730009
K00158	20.5145104664
K00278	20.5145104664
K01835	20.4413749567
K12276	20.3687590599
K01183	20.3567065397
K01920	20.2607974394
K07030	20.2607974394
K00156	20.1539742543
K05743	20.1186164048
K12858	19.9321170638
K04773	19.8745430688
K02343	19.8516064929
K00863	19.7944960024
K13821	19.7802733646
K07321	19.6678052690
K06200	19.6027544457
K04073	19.3569985377
K03702	19.1353486054
K01867	18.8474794670
K06113	18.4961473399
K20459	18.3650930104
K01754	18.3540746683
K01876	18.2702252003
K05502	18.2218400700
K02238	18.1162896536
K03404	18.0877150642
K01173	17.8651212392
K00688	17.7991635908
K19648	17.7412550388
K19868	17.6969310968
K21467	17.4103411195
K01547	17.0058497539
K04072	16.6139347266
K02563	16.0754853552
K10671	16.0311435471
K02358	15.8366581886
K06894	15.7885098069
K02777	15.5598525790
K20107	15.5598525790
K20108	15.5598525790
K00656	15.5022493944
K10899	15.4619478886
K03723	15.3338634820
K02469	15.2765692949
K02015	15.2448603566
K00265	15.1588783918
K06959	15.0493587280
K16212	14.9903416349
K07444	14.9335929194
K00548	14.8480077912
K00626	14.6387929263
K01093	14.6146278896
K00821	14.5037243053
K02474	14.2963236140
K09691	14.1265863657
K08483	14.1168789709
K11189	14.1168789709
K11201	14.1168789709
K01156	14.1101304837
K16342	14.0534452827
K11752	14.0019104667
K08857	13.8609323337
K06221	13.7597174423
K02809	13.7388025472
K02810	13.7388025472
K06207	13.7165489888
K06148	13.4228771175
K01698	13.2842298282
K03697	13.0994413728
K13381	13.0511510061
K00525	12.9431279353
K01740	12.8125758576
K07319	12.7417903897
K00048	12.2929933512
K03551	12.2802245782
K01847	12.2320999826
K02349	11.8192208356
K21573	11.6817772673
K05989	11.6368240140
K00033	11.4058277033
K01937	11.3993625130
K18682	11.3508897869
K11787	11.2464315306
K15726	11.1408141361
K13678	10.6675454425
K01007	10.6050659840
K01687	10.5239626957
K10661	10.4758934385
K03760	10.0747081294
K02316	10.0458436402
K11717	9.8293811578
K11751	9.5936514367
K01962	9.5140580896
K16899	9.5114277169
K01875	9.4211945834
K05823	9.3500890225
K02188	9.1607537784
K20974	9.0130558166
K16724	8.9637399823
K01200	8.8963251350
K03615	8.5920679361
K00526	8.3242864594
K05100	8.2639524507
K16153	8.2303430747
K01581	7.7891322405
K07248	7.6517181235
K19051	7.4853859992
K00819	7.0028809878
K03724	6.7775480796
K02032	6.4533547275
K00982	6.2076568120
K02000	6.0488432414
K03650	5.8800452965
K02045	5.7000828452
K01194	5.4366046227
K03722	5.4220384637
K02567	5.3939476113
K03583	5.2732731533
K03883	4.8591573520
K22132	4.7431116499
K01278	4.0963111148
K11367	3.9317524631
K01284	3.8455648480
K13918	3.7120019478
K02622	3.6990879004
K01958	3.5230756838
K01255	3.3801173170
K03430	3.0321345012
K14676	2.9950102315
K01712	2.9404131668
K01682	2.6428730681
K00694	1.6739409329
K05851	1.5241376064
